Level,Expression,Value,Location,Refresh
 1,"[175]",379,0x000AEDC2,"1 Hz"
 1,"[176]",380,0x000AEDC4,"1 Hz"
 1,"[177]",381,0x000AEDC6,"1 Hz"
 1,"[178]",382,0x000AEDC8,"1 Hz"
 1,"[179]",383,0x000AEDCA,"1 Hz"
 1,"[180]",384,0x000AEDCC,"1 Hz"
 1,"[181]",385,0x000AEDCE,"1 Hz"
 1,"[182]",386,0x000AEDD0,"1 Hz"
 1,"[183]",387,0x000AEDD2,"1 Hz"
 1,"[184]",388,0x000AEDD4,"1 Hz"
 1,"[185]",389,0x000AEDD6,"1 Hz"
 1,"[186]",390,0x000AEDD8,"1 Hz"
 1,"[187]",391,0x000AEDDA,"1 Hz"
 1,"[188]",392,0x000AEDDC,"1 Hz"
 1,"[189]",393,0x000AEDDE,"1 Hz"
 1,"[190]",394,0x000AEDE0,"1 Hz"
 1,"[191]",395,0x000AEDE2,"1 Hz"
 1,"[192]",396,0x000AEDE4,"1 Hz"
 1,"[193]",397,0x000AEDE6,"1 Hz"
 1,"[194]",398,0x000AEDE8,"1 Hz"
 1,"[195]",399,0x000AEDEA,"1 Hz"
 1,"[196]",400,0x000AEDEC,"1 Hz"
 1,"[197]",401,0x000AEDEE,"1 Hz"
 1,"[198]",402,0x000AEDF0,"1 Hz"
 1,"[199]",403,0x000AEDF2,"1 Hz"
 1,"[200]",404,0x000AEDF4,"1 Hz"
 1,"[201]",405,0x000AEDF6,"1 Hz"
 1,"[202]",406,0x000AEDF8,"1 Hz"
 1,"[203]",407,0x000AEDFA,"1 Hz"
 1,"[204]",408,0x000AEDFC,"1 Hz"
 1,"[205]",409,0x000AEDFE,"1 Hz"
 1,"[206]",410,0x000AEE00,"1 Hz"
 1,"[207]",411,0x000AEE02,"1 Hz"
 1,"[208]",412,0x000AEE04,"1 Hz"
 1,"[209]",413,0x000AEE06,"1 Hz"
 1,"[210]",414,0x000AEE08,"1 Hz"
 1,"[211]",415,0x000AEE0A,"1 Hz"
 1,"[212]",416,0x000AEE0C,"1 Hz"
 1,"[213]",417,0x000AEE0E,"1 Hz"
 1,"[214]",418,0x000AEE10,"1 Hz"
 1,"[215]",419,0x000AEE12,"1 Hz"
 1,"[216]",420,0x000AEE14,"1 Hz"
